index,o_label,keywords,score,adjusted_score,rank,label
32,1,"['조사 단계', '조사', '상기 조사', '감지 전극', '감지', '상기', '서브 감지', '레이저', '표시 모듈', '시간 간격']",7.084645048,7.084645048,28,1
33,1,"['상기', '색상', '색상 변환', '기준 노드', '뱅크', '사이 접속', '상기 색상', '접속', '포함', '포함 색상']",6.412850659,6.412850659,41,1
34,2,"['상기', '충격', '충격 흡수', '상기 전극', '전극', '탄성', '저장 탄성', '상기 충격', '흡수', '소자 각각']",-6.817047143,-16.81704714,169,3
35,2,"['상기', '프리 영역', '화소 회로', '프리', '화소', '회로', '내부', '내부 상기', '전극', '상기 내부']",-8.508625717,-18.50862572,195,4
36,2,"['해상도', '해상도 이미지', '이미지', '편차', '광학 검사', '복수 해상도', '상기 편차', '상기', '검사', '편차 기준']",-7.256637308,-17.25663731,181,4
37,1,"['상기 부분', '상기', '부분', '상기 전극', '전극', '부분 상기', '이전 프레임', '상기 이전', '데이터', '이전']",1.612290799,1.612290799,82,2
38,2,"['상기', '중간 레이어', '전극', '레이어', '상기 전극', '중간', '연막', '서브 전극', '계측', '레이어 상기']",-7.423087656,-17.42308766,186,4
39,2,"['로고', '상기', '상기 로고', '영상', '로고 영상', '위치', '전극', '프레임 입력', '영상 신호', '구조물']",-6.973657586,-16.97365759,173,3
40,2,"['상기', '전극', '게이트 연막', '데이터 도전', '연막', '게이트', '버퍼', '접촉 전극', '접촉', '상기 게이트']",-5.194020665,-15.19402067,138,3
41,2,"['검사', '장치 검사', '장치', '특징 표시', '표시 장치', '검사 장치', '표시', '상기', '로더', '표면']",-4.654070454,-14.65407045,126,3
42,2,"['상기', '상기 영역', '정렬 전극', '영역', '발광 소자', '소자', '전극', '발광', '정렬', '상기 발광']",-7.417968005,-17.417968,185,4
43,2,"['성비', '인듐 성비', '보조', '상기 보조', '인듐', '상기', '보조 상기', '성비 상기', '상기 인듐', '박막']",-4.333189145,-14.33318915,122,2
44,2,"['차량', '운반', '무인 운반', '운반 차량', '무인', '우회 경로', '경로', '우회', '정보', '차량 우회']",-7.154615357,-17.15461536,178,4
